ELF code,Country ELF,Country,Country Global,Jurisdiction,Entity legal form local name,Language,Entity legal form transliterated name,Abbreviation,Source
4E5P,Belgium,Belgium,Global,,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung,German,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung,GuHsZ,ELF v1.5
7SJP,Belgium,Belgium,Global,,Europees economisch samenwerkingsverband,Dutch,Europees economisch samenwerkingsverband,EESV,ELF v1.5
7SJP,Belgium,Belgium,Global,,Groupement européen d'intérêt économique,French,Groupement européen d'intérêt économique,GEIE,ELF v1.5
7SJP,Belgium,Belgium,Global,,Europäische wirtschaftliche Interessenvereinigung,German,Europäische wirtschaftliche Interessenvereinigung,EWIV,ELF v1.5
8E2A,Belgium,Belgium,Global,,Coöperatieve vennootschap met beperkte aansprakelijkheid,Dutch,Coöperatieve vennootschap met beperkte aansprakelijkheid,CVBA,ELF v1.5
8E2A,Belgium,Belgium,Global,,Société coopérative à responsabilité limitée,French,Société coopérative à responsabilité limitée,SCRL,ELF v1.5
8E2A,Belgium,Belgium,Global,,Genossenschaft mit beschränkter Haftung,German,Genossenschaft mit beschränkter Haftung,Gen.mbH,ELF v1.5
8YLB,Belgium,Belgium,Global,,Instelling zonder winstoogmerk,Dutch,Instelling zonder winstoogmerk,IZW,ELF v1.5
8YLB,Belgium,Belgium,Global,,Institution sans but lucratif,French,Institution sans but lucratif,ISBL,ELF v1.5
8YLB,Belgium,Belgium,Global,,Einrichtung ohne Gewinnerzielungsabsicht,German,Einrichtung ohne Gewinnerzielungsabsicht,EoG,ELF v1.5
B910,Belgium,Belgium,Global,,Vennootschap onder firma met een sociaal oogmerk,Dutch,Vennootschap onder firma met een sociaal oogmerk,VOF SO,ELF v1.5
B910,Belgium,Belgium,Global,,Société en nom collectif à finalité sociale,French,Société en nom collectif à finalité sociale,SNC FS,ELF v1.5
B910,Belgium,Belgium,Global,,Offene Handelsgesellschaft mit sozialer Zielsetzung,German,Offene Handelsgesellschaft mit sozialer Zielsetzung,OHGmsZ,ELF v1.5
C609,Belgium,Belgium,Global,,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid,Dutch,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid,EBVBA,ELF v1.5
C609,Belgium,Belgium,Global,,Société privée à responsabilité limitée unipersonnelle,French,Société privée à responsabilité limitée unipersonnelle,SPRLU,ELF v1.5
