Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Cardiff University,cardiff university,GCAP15335,https://www.cardiff.ac.uk,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
"Cardinal Health, Inc.",cardinal health,GCAP29416,https://www.cardinalhealth.com/en.html,CCU46N3GJMF4OK4N7U60,United States of America,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,16/12/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Care Property Invest,care property invest,,,,Belgium,Western European and Others Group (WEOG),,,SME,Real Estate,,28/09/2023,,,NZ targets set,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cargojet Airways Ltd.,cargojet airways,GCAP32817,www.cargojet.com,549300SDYDKS0HJFVX85,Canada,Western European and Others Group (WEOG),,,Company,Transportation services,,26/05/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Cargotec,cargotec,GCAP18820,cargotec.com,5493002B0GOVF42KWX33,Finland,Western European and Others Group (WEOG),,,Company,Manufacturing,,03/12/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carib Glassworks Limited,carib glassworks,GCAP33241,"www.caribglass.com, www.ansapackaging.com",8945003MPMC16T4KFN47,Trinidad and Tobago,Latin American and Caribbean Group (GRULAC),,,Company,Manufacturing,,28/07/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carleton College,carleton college,GCAP19034,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Carleton University,carleton university,GCAP21311,http://www.carleton.ca,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,19/03/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Carlisle Companies Incorporated,carlisle,,carlisle.com,,United States of America,Western European and Others Group (WEOG),,,Company,Materials,,12/08/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carlos Hilado Memorial State University,carlos hilado memorial university,,https://chmsu.edu.ph/,,Philippines,Asia-Pacific Group,,,Higher Education,,,14/04/2023,Did not - joined less than 12 months ago,,,,Jul-23,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
