GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
GCAP23525,mgps commercial ltd,mgps commercial,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,25/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24681,MIA DASTKAAR ZARIWALE PVT. LTD,mia dastkaar zariwale,https://www.indiamart.com/miadastkar/,,India,Asia-Pacific Group,,,SME,Apparel,,06/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4619,"Miami Beach, FL",miami beach fl,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,25/02/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP4706,"Miami, FL",miami fl,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP14397,"Miami-Dade County, FL",miami-dade county fl,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,26/05/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP20205,MIB Engineers,mib engineers,http://www.mibengineers.com,,United States of America,Western European and Others Group (WEOG),,,SME,Power generation,,28/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MICA,mica,https://micaarchitects.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,16/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP33071,Michael Holden Chartered Surveyors,michael holden chartered surveyors,http://www.michaelholdenfrics.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,25/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MICHAEL SEHGAL AND SONS LTD,michael sehgal sons,http://www.michalesehgal.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,27/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23435,Michael Smith Switchgear Ltd,michael smith switchgear,http://www.mssl.uk.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,16/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30263,MICHEL TRANSPORTEURS ASSOCIES (MTA),michel transporteurs associes (mta),https://www.transalliance.eu/fr/,,France,Western European and Others Group (WEOG),,,Company,Transportation services,,11/01/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP1774,Michelin,michelin,michelin.com,549300SOSI58J6VIW052,France,Western European and Others Group (WEOG),,,Company,Manufacturing,,26/07/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP20803,Michelin Scotland Innovation Parc,michelin scotland innovation parc,http://www.msipdundee.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,05/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP31521,Michelle McCance,michelle mccance,http://Michellemccance.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,29/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23425,Michelle’s Dog Grooming Studio,michelle’s dog grooming studio,http://www.michelesdoggrooming.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,15/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20206,Microcab Industries Ltd,microcab industries,http://www.microcab.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30264,Microgreen Pros,microgreen pros,https://www.instagram.com/microgreenpros/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,15/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MICROplásticos S.A.,microplásticos,www.microplasticos.pt,,Portugal,Western European and Others Group (WEOG),,,SME,Manufacturing,,19/01/2023,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP1778,Microsoft Corporation,microsoft,www.microsoft.com,INR2EJN1ERAN0W5ZP974,United States of America,Western European and Others Group (WEOG),,,Company,Services,,14/01/2020,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,
,Microsys Solutions Ltd,microsys solutions,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP31326,Micro-tech,micro-tech,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,30/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mid North Coast Community College Ltd,mid north coast community college,www.mnccc.edu.au,,Australia,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/08/2022,Did not - joined less than 12 months ago,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP20804,MiDAS Green Innovation,midas green innovation,https://www.midasgreeninnovation.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,02/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Midas Safety, Pakistan",midas safety pakistan,www.midassafety.com,,Pakistan,Asia-Pacific Group,,,Company,Apparel,,09/01/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP4261,Middelfart,middelfart,,,Denmark,Western European and Others Group (WEOG),,,City,n/a,,29/04/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Middle East Model United Nations,middle east model united nations,,,United Arab Emirates,Asia-Pacific Group,,,Higher Education,Education,,12/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP15743,Middlebury College,middlebury college,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP19135,Middlebury Institute of International Studies at Monterey,middlebury institute of studies at monterey,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP22673,Middlesex University,middlesex university,www.mdx.ac.uk,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,n/a,,27/06/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP30266,Midfield Meat International,midfield meat,"https://midfield.com.au/
https://m.facebook.com/The-Midfield-Group-470263099670515/
https://www.linkedin.com/company/the-midfield-group/mycompany/
https://www.instagram.com/themidfieldgroup/",549300RKNQSYFZU5V638,Australia,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,03/03/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30267,Midnight Communications,midnight communications,http://www.midnight.co.uk/@MidnightComs,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,03/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP25230,MidOcean Partners,midocean partners,https://www.midoceanpartners.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,n/a,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP27007,Midsona AB,midsona,https://www.midsona.com/,549300YMDO8YBYYI1981,Sweden,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,21/07/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP33044,Midton Acrylics,midton acrylics,http://midton.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,19/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Midway Industrial Doors Ltd,midway doors,http://www.midwaydoors.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,06/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19340,Mifune Town (Kumamoto Prefecture),mifune town (kumamoto prefecture),,,Japan,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP20805,Mighty Buildings,mighty buildings,http://mightybuildings.com,,United States of America,Western European and Others Group (WEOG),,,SME,Infrastructure,,22/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mighty Epiphyte Consulting,mighty epiphyte consulting,https://mightyepiphyte.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,10/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP21750,Mighty Pea,mighty pea,http://www.mightypea.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,15/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mightybytes,mightybytes,http://mightybytes.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,14/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP27009,Migros Group,migros,,,Switzerland,Western European and Others Group (WEOG),,,Company,Retail,,20/01/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Migros Ticaret A.Ş.,migros ticaret,migros.com.tr,969500E5ONPU9OHYTX76,Turkey,Western European and Others Group (WEOG),,,Company,Retail,,21/07/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP18934,Miguel Hernandez University,miguel hernandez university,https://umh.es/,,Spain,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP30269,Miguel Torres Chile,miguel torres chile,https://www.migueltorres.cl/#sostenibilidad,,Chile,Latin American and Caribbean Group (GRULAC),Familia Torres,,Company,"Food, beverage & agriculture",,01/01/2022,IWCA Annual Report,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
GCAP18163,MiiR,miir,https://www.miir.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Retail,,01/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP4355,Milan,milan,,,Italy,Western European and Others Group (WEOG),,,City,n/a,,06/09/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Milano La Plata,milano la plata,,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Infrastructure,,05/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP32921,Milarex,milarex,milarex.com,,Norway,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,26/05/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,"Milestone Technologies, Inc",milestone technologies,https://milestone.tech/,,United States of America,Western European and Others Group (WEOG),,,Company,Services,,23/02/2023,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP31569,Mileway,mileway,mileways.com,724500H2HPSXUAS7BH79,Netherlands,Western European and Others Group (WEOG),,,Company,Other,,28/04/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP17216,MiljöMatematik Malmö AB,miljömatematik malmö,miljomatematik.se,,Sweden,Western European and Others Group (WEOG),,,SME,Services,,10/01/2020,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP18727,Milk & Honey PR,milk honey pr,http://www.milkandhoneypr.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,03/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP31301,millbrook advisors llc,millbrook advisors,http://millbrookadvisors.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,18/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Millennium Contracts Ltd,millennium contracts,http://www.milllenniumldn.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,25/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19136,Millersville University of Pennsylvania,millersville university of pennsylvania,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,Millfields Community Economic Development Trust Community Interest Com,millfields community economic development community interest com,https://millfieldstrust.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Building services,,13/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30271,Millicom International Cellular S.A.,millicom cellular,www.millicom.com,549300CTHC1CP86P2G96,Luxembourg,Western European and Others Group (WEOG),,,Company,Services,,14/12/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30272,Milliken & Company,milliken,milliken.com,549300XB5UQO7U766C18,United States of America,Western European and Others Group (WEOG),,,Company,Apparel,,20/01/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Mills & Reeve,mills reeve,mills.edu,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,13/10/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP20207,Mills AS,mills,mills.no,5493002Q90NEJB6EPG57,Norway,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,18/01/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP19137,Mills College,mills college,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,Hockey Australia,hockey australia,www.hockey.org.au,,Australia,Western European and Others Group (WEOG),,<250M,Company,Sports,,24/07/2023,,,Nov-23,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
,Milton Keynes College Group,milton keynes college,https://mkcollege.ac.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,n/a,,14/12/2022,Did not - joined less than 12 months ago,,Mar-23,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP19138,Milwaukee Area Technical College,milwaukee area technical college,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP31297,Mima,mima,http://www.mimagroup.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,07/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19341,Minamiaso Village (Kumamoto Prefecture),minamiaso village (kumamoto prefecture),,,Japan,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP3838,Minas Gerais,minas gerais,https://www.mg.gov.br/,,Brazil,Latin American and Caribbean Group (GRULAC),,,State or Region,n/a,,06/01/2021,CDP,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
GCAP30273,Minconsult Sdn. Bhd.,minconsult,minconsult.com,254900MTIHC2X0KUVT11,Malaysia,Asia-Pacific Group,,,Company,Infrastructure,,03/10/2022,,,Mar-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP31529,Minderoo Foundation,minderoo,https://www.minderoo.org/,,Australia,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP18078,Mindful Chef,mindful chef,https://www.mindfulchef.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,29/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP23078,Mindful Healthcare,mindful healthcare,http://www.mindfulhc.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,05/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MINDSNOB CONSULTING PRIVATE LIMITED,mindsnob consulting,www.mindsnobconsulting.com,,India,Asia-Pacific Group,,,SME,Technology Hardware and Equipment,,11/5/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,MINEPA SAC,minepa,,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other mining and quarrying,,06/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MINERA YEROSA,minera yerosa,,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other mining and quarrying,,23/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20213,Minerales Algan SRL,minerales algan,https://estudioaduanero.negocio.site/,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Services,,13/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24738,Ming Foods Limited,ming foods,http://www.mingfoods.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,27/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP30274,Minim Consultants,minim consultants,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,10/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24524,Minimum,minimum,http://www.minimum.eco,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,16/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MinMin Kombucha,minmin kombucha,,,China,Asia-Pacific Group,,,SME,Other,,12/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP3714,"Minneapolis, MN",minneapolis mn,,,United States of America,Western European and Others Group (WEOG),,,City,n/a,,10/08/2021,CDP-ICLEI Track,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP33240,Minor International Public Company Limited,minor,https://www.minor.com/en,254900T4WB2UF9XPX041,Thailand,Asia-Pacific Group,,,Company,Hospitality,,28/07/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30275,Minto Apartment REIT,minto apartment,https://www.mintoapartments.com/,,Canada,Western European and Others Group (WEOG),,,Company,Other,,26/10/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30276,Minto Properties Inc,minto properties,https://www.minto.com/,549300HQ9QY56V0PYH93,Canada,Western European and Others Group (WEOG),,,Company,Other,,26/10/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP24758,Minx Consulting,minx consulting,http://www.minxconsulting.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,16/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP24237,Mira Bhayander,mira bhayander,,,India,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP30277,Mirabaud Asset Management,mirabaud asset management,https://www.mirabaud-am.com/en/,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,n/a,,13th January 2022,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP24238,Miraj,miraj,,,India,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,MIRÉN,mirén,https://www.mirenparis.com,,France,Western European and Others Group (WEOG),,,SME,Apparel,,18/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP14921,Mirova,mirova,https://www.mirova.com/en,,France,Western European and Others Group (WEOG),,,Financial Institution,n/a,,29th March 2021,CDP,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
,MIROW & CO. DO BRASIL CONSULTORIA LTDA,mirow do brasil consultoria ltda,mirowheels.com,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Services,,16/06/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP33072,Miryamo Housing,miryamo housing,http://www.besthouse.live,,Spain,Western European and Others Group (WEOG),,,SME,Services,,07/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19342,Misato Town (Kumamoto Prefecture),misato town (kumamoto prefecture),,,Japan,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
,Misfat Filtration,misfat filtration,https://misfat.com.tn/?lang=en,,Tunisia,African Group,,,Company,Automobiles and Components,,4/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP20214,Mishcon de Reya LLP,mishcon reya,,549300LNYYQB2REND203,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,01/12/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP3823,Misiones,misiones,,,Argentina,Latin American and Caribbean Group (GRULAC),,,State or Region,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
GCAP20806,Mission Zero Technologies Ltd,mission zero technologies,http://www.missionzero.tech,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,08/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP19139,Mississippi State University,mississippi state university,,,United States of America,Western European and Others Group (WEOG),,,Higher Education,n/a,,19/11/2020,Second Nature,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GCAP17951,Misteli creative agency,misteli creative agency,http://misteli.nl,,Netherlands,Western European and Others Group (WEOG),,,SME,Other,,04/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mistletoe Homestay & Art Gallery,mistletoe homestay art gallery,http://www.%20mistletoemunnar.com,,India,Asia-Pacific Group,,,SME,Hotels and similar accommodation,,30/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Miswa Chemicals,miswa chemicals,http://www.miswa.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,19/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP25388,MIT-ADT,mit-adt,,,India,Asia-Pacific Group,,,Higher Education,n/a,,21/10/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,Mitchells & Butlers plc,mitchells butlers,mbcareersandjobs.com,213800JHYNDNB1NS2W10,United Kingdom,Western European and Others Group (WEOG),,,Company,Hospitality,,10/06/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP22211,MITCON Consultancy & Engineering Services Limited,mitcon consultancy engineering services,mitconindia.com,335800TDQKGRZESIQ223,India,Asia-Pacific Group,,,SME,Services,,18/08/2021,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP1693,Mitie,mitie,mitie.com,213800MTCLTKEHWZMJ03,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,02/12/2021,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP33524,Miti-Life,miti-life,https://www.miti-life.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,15/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP20807,Mitkovski MM,mitkovski mm,http://Mitkovski.mk,,Macedonia,Eastern European Group,,,SME,Services,,26/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mitr Phol Group,mitr phol,mitrphol.com,,Thailand,Asia-Pacific Group,,,Company,"Food, beverage & agriculture",,15/09/2022,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP3431,"MITSUBISHI ESTATE CO., LTD.",mitsubishi estate,,353800KOFMRGOXSJ5Z65,Japan,Asia-Pacific Group,,,Company,Other,,03/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP30278,Mitsubishi HC Capital UK PLC,mitsubishi hc uk,https://www.mitsubishihccapital.co.uk/,549300P4PHVCL0EZU771,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,n/a,,17/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
GCAP19343,Miura City (Kanagawa Prefecture),miura city (kanagawa prefecture),,,Japan,Asia-Pacific Group,,,City,n/a,,-,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
